"userID","Track","artist","genre","City","time","Day"
"FFB692EC","Kamigata To Boots","The Mass Missile","rock","Saint-Petersburg","20:28:33","Wednesday"
"55204538","Delayed Because of Accident","Andreas Rönnberg","rock","Moscow","14:07:09","Friday"
"20EC38","Funiculì funiculà","Mario Lanza","pop","Saint-Petersburg","20:58:07","Wednesday"
"A3DD03C9","Dragons in the Sunset","Fire + Ice","folk","Saint-Petersburg","8:37:09","Monday"
"E2DC1FAE","Soul People","Space Echo","dance","Moscow","8:34:34","Monday"
"842029A1","Преданная","IMPERVTOR","rusrap","Saint-Petersburg","13:09:41","Friday"
"4CB90AA5","True","Roman Messer","dance","Moscow","13:00:07","Wednesday"
"F03E1C1F","Feeling This Way","Polina Griffith","dance","Moscow","20:47:49","Wednesday"
"8FA1D3BE","И вновь продолжается бой","NaN","ruspop","Moscow","9:17:40","Friday"
"E772D5C0","Pessimist","NaN","dance","Saint-Petersburg","21:20:49","Wednesday"
"8B5192C0","Is There Anybody Out There? (Panoramic Paralys...","Pink Floyd Floydhead","electronic","Moscow","13:47:49","Monday"
"FF3FD2BD","Мина син генэ кирэк","Ильдар Хакимов","pop","Moscow","9:19:49","Monday"
"CC782B0F","After School Special","Detroit Grand Pubahs","dance","Moscow","20:04:12","Friday"
"94EB25C2","Make Love Whenever You Can","Arabesque","pop","Saint-Petersburg","13:22:08","Wednesday"
"E3C5756F","NaN","NaN","NaN","Moscow","9:24:51","Monday"
"81D05C7D","SLAVES OF FEAR","HEALTH","alternative","Saint-Petersburg","20:54:48","Monday"
"39DE290E","Веснянка","Веданъ Колодъ","folk","Saint-Petersburg","14:36:47","Monday"
"58AE138A","Pat-a-Cake","Mother Goose Club","children","Saint-Petersburg","20:04:56","Monday"
"772F5B59","Sweetback","The Fabulous Three","rnb","Moscow","13:56:42","Wednesday"
"201CF2A8","Ya'll In Trouble","Lil Tee Chill Tank Young Buck Brother Mohammed...","hip","Moscow","8:46:03","Monday"
"44B8E869","Nanovirus","Exotype","rock","Moscow","21:36:40","Monday"
"B8E29C9C","Самота","NaN","folk","Saint-Petersburg","20:20:49","Wednesday"
"A729591B","Gavotte","Hachidai Nakamura","jazz","Moscow","13:56:00","Monday"
"8BA8855","A Universal Weakness","Lowercase Noises","postrock","Saint-Petersburg","21:17:25","Wednesday"
"A4504035","Cradle in Bethlehem","Nat King Cole","jazz","Saint-Petersburg","9:23:01","Wednesday"
"982219FD","We Not Speak Americano","Genio Band","pop","Saint-Petersburg","20:03:03","Monday"
"9CC6AA46","Mucho Corazón","Buena Vista Social Club","latin","Moscow","14:06:22","Monday"
"D8D698A9","Romantici","Viola Valentino","pop","Moscow","8:23:21","Wednesday"
"5661F63E","Cюита из балета «Семь красавиц»: I. Вальс","Рауф Абдуллаев Азербайджанский государственный...","classical","Saint-Petersburg","8:33:58","Wednesday"
"EBA5A8B2","Päivän Nousu Nostajani","Värttinä","world","Saint-Petersburg","8:00:31","Friday"
"F6A44469","Veritas Universalis","Devathorn","metal","Saint-Petersburg","20:19:42","Friday"
"84AFC19A","Carry On","Young Rising Sons","alternative","Saint-Petersburg","20:24:51","Monday"
"809CAFB1","Break Me Down","Steve Angello","dance","Moscow","14:42:31","Monday"
"B416A40F","Лучшая подруга","Супердетки","ruspop","Moscow","14:49:21","Friday"
"A8AE9169","NaN","NaN","NaN","Moscow","8:56:10","Monday"
"FCDF1C8E","Nasebanaru","Zen","reggae","Moscow","20:19:36","Wednesday"
"C800FA98","Body Talk","Ratt","rock","Moscow","8:45:16","Monday"
"14FBD1E5","Solteras","Beauty Brain","dance","Saint-Petersburg","20:33:11","Friday"
"2CF53316","Прочь от Земли","Космонавты","alternative","Saint-Petersburg","20:29:00","Wednesday"
"77979A66","Верните в моду любовь","Hazard","rusrap","Saint-Petersburg","8:45:43","Monday"
"9202C4F4","Good Morning Sunshine","Brick","rnb","Saint-Petersburg","21:54:19","Monday"
"F9AD83A7","Иреннэр","Гузель Уразова","tatar","Moscow","14:53:39","Friday"
"9A22399C","Sweet October","Ministers of Music","dance","Moscow","20:32:33","Friday"
"CD0BE030","Нега","Mooncat","pop","Moscow","9:21:00","Friday"
"E6072F55","SOS","Peter Cetera","pop","Moscow","20:10:04","Wednesday"
"825997A5","Glorious Feeling","Joelistics","hip","Moscow","21:46:34","Friday"
"A1749681","Downfall","The Voss","dance","Saint-Petersburg","20:07:58","Monday"
"8D0DCE83","Little Bitty Pretty One","Thurston Harris","blues","Moscow","9:41:14","Friday"
"2A35001B","Can You Feel the Love Tonight","Disney Peaceful Piano","instrumental","Saint-Petersburg","21:51:37","Friday"
"107EBCED","Столько ты не...","Паровоз до Кубы","rusrock","Moscow","21:02:57","Wednesday"
"C9EAF7B7","Giratina","Dimatik","electronic","Moscow","9:48:21","Monday"
"CDB46D40","Renaissance","Soeur Sourire","jazz","Saint-Petersburg","21:29:36","Friday"
"3FA9A6A8","Inside Out","NaN","NaN","Moscow","10:00:41","Friday"
"FEB69A12","Show Must Go On","Best Instrumentals","pop","Saint-Petersburg","9:00:15","Friday"
"8B14ACB3","Senses Overload","NaN","dance","Moscow","20:02:19","Friday"
"E35653A8","Yurak Ezilar","Shoxruz Abadiya","pop","Moscow","20:07:56","Monday"
"9310281D","No Away","Nano D.A.","dance","Moscow","8:06:34","Friday"
"3A64204B","Притоптать","Нейромонах Феофан","dnb","Moscow","8:32:50","Monday"
"E2F8BE12","Banga","NaN","pop","Moscow","8:45:42","Monday"
"B5496034","Jealous Man","The Marcus King Band","rock","Moscow","20:23:00","Friday"
"F97CDA4","Destination Unknown","Pseudo Echo","electronic","Saint-Petersburg","14:43:12","Monday"
"B82BAF85","Ay Gidiyor","Servet Kocakaya","türk","Moscow","21:12:26","Wednesday"
"FD21300B","Sometimes You've Got to Take the Hardest Line","Maïak","post","Saint-Petersburg","9:18:23","Wednesday"
"DBA2327A","Run Bobby Run","Lesley Gore","pop","Moscow","20:54:37","Friday"
"B103C670","When I Was Your Man","Kriss Ramirez","pop","Saint-Petersburg","14:42:11","Monday"
"9F93EEC8","Believe in Me","Bluesolar","dance","Moscow","20:11:44","Friday"
"D0CE968E","Afternoon Tropical Rain","Spa Relaxation and Dreams","instrumental","Moscow","8:02:02","Friday"
"AF2FEA1F","Insecure","RaeLynn","country","Moscow","13:45:57","Wednesday"
"E7A543CA","Uplifter","InnerZone","psychedelic","Moscow","9:29:19","Friday"
"8217BB5C","Easier","Mansionair","electronic","Moscow","9:37:24","Friday"
"8B9DEC72","It Sends My Heart into a Spin","Vanishing Twin","conjazz","Moscow","20:48:42","Friday"
"7B7C5AA4","Silly Bwoy","Superior","reggae","Moscow","8:36:09","Friday"
"805093B3","Treat Me Like A Lady","Francis Mercier","electronic","Moscow","9:39:17","Wednesday"
"43F8FF4F","Feed The Horse","Fagget Fairys","electronic","Moscow","9:42:16","Friday"
"9B0038AE","Вясна","Дрыгва","metal","Moscow","21:39:00","Wednesday"
"80E3B0C5","Flamingo","Kero Kero Bonito","electronic","Saint-Petersburg","14:44:54","Wednesday"
"48D85303","Romance","Ex:Re","indie","Moscow","14:06:34","Monday"
"1DA07AA4","Cardi B","Money Man","hip","Saint-Petersburg","14:02:14","Monday"
"3.88E+55","Me Myself & Hyde","Ice Nine Kills","posthardcore","Saint-Petersburg","21:39:54","Monday"
"CCD46819","Narcos","FOrΣvΣrT","hip","Saint-Petersburg","9:20:38","Wednesday"
"80396F","Ay Caramba","Stay Flee Get Lizzy","hip","Moscow","13:15:38","Monday"
"1D21C883","Останься","Rozhden","ruspop","Moscow","21:29:35","Wednesday"
"76A07278","Vaiduokliai","Alina Orlova","local","Saint-Petersburg","9:06:01","Friday"
"D2418B66","Good Enough","Death in The Afternoon","pop","Moscow","10:00:29","Wednesday"
"C3BAA9A9","Going Down","Paranormal Attack","electronic","Moscow","9:19:47","Wednesday"
"21FED9CC","Part 12","Don Li","avantgarde","Moscow","9:32:17","Friday"
"E5E63D4D","Kingpin","RL Grime","electronic","Saint-Petersburg","9:33:26","Wednesday"
"4D278386","Ave Maria","Montserrat Caballé","classical","Moscow","8:51:20","Monday"
"CB8A2C32","Here with Me","Pat Benesta","pop","Moscow","20:28:27","Monday"
"A8D1AC2F","Aya Doesn't Like the Garlic Bros.","Sweatshop Boys","punk","Saint-Petersburg","21:35:08","Monday"
"8DC0EA33","Stealth Under Fire","Acumen Nation","videogame","Moscow","20:38:56","Monday"
"53681C91","The City The Airport","Loney Dear","rock","Moscow","13:20:30","Monday"
"5F362F2E","Happy Now","Kygo","dance","Moscow","9:53:21","Friday"
"E1BD98","love","Dean","rnb","Saint-Petersburg","20:10:59","Wednesday"
"F6AF8C2","Brainpower","Freezepop","electronic","Moscow","21:06:31","Monday"
"26CA5CBB","Babes","Icky Blossoms","rock","Saint-Petersburg","8:14:43","Wednesday"
"2B10221B","Holltoll","NaN","techno","Moscow","9:47:23","Friday"
